id,title,url,category
5.19,5.19 "Physical and Psychiatric Examinations,https://www.southflorida.edu/policies/human-resources/5-19-physician-psychiatric-examinations,Human Resources
5.20,5.20 "Professional Services,https://www.southflorida.edu/policies/human-resources/5-20-professional-services,Human Resources
5.21,5.21 "Responsibilities of Faculty, Professional, Career, and Administrative Staff,https://www.southflorida.edu/policies/human-resources/5-21-responsibilities-faculty-professional-career-administrative-staff,Human Resources
5.22,5.22 "Work Schedules,https://www.southflorida.edu/policies/human-resources/5-22-work-schedules,Human Resources
5.23,5.23 "Prohibited Discrimination,https://www.southflorida.edu/policies/human-resources/5-23-prohibited-discrimination,Human Resources
5.24,5.24 "College Employees: Employment, Promotion, Transfer, Demotion, Suspension, and Dismissal,https://www.southflorida.edu/policies/human-resources/5-24-college-employees-employment-promotion-transfer-demotion-suspension-dismissal,Human Resources
5.26,5.26 "Employee Wellness Program,https://www.southflorida.edu/policies/human-resources/5-26-employee-wellness-program,Human Resources
6.01,6.01 "Electronics Access Use,https://www.southflorida.edu/policies/planning-institutional-advancement/6-01-electronics-access-use,Planning and Institutional Advancement
7.01,7.01 "Facilities Planning and Construction,https://www.southflorida.edu/policies/facilities/7-01-facilities-planning-construction,Facilities
7.02,7.02 "Construction Change Orders and Final Payment,https://www.southflorida.edu/policies/facilities/7-02-construction-change-orders-final-payment,Facilities
7.03,7.03 "Safety and Traffic Control,https://www.southflorida.edu/policies/facilities/7-03-safety-traffic-control,Facilities
7.04,7.04 "Rental of Facilities,https://www.southflorida.edu/policies/facilities/7-04-rental-facilities,Facilities
7.05,7.05 "Use of Facilities,https://www.southflorida.edu/policies/facilities/7-05-use-facilities,Facilities
7.06,7.06 "National Disasters and Civil Disorders,https://www.southflorida.edu/policies/facilities/7-06-national-disasters-civil-disorders,Facilities
7.07,7.07 "Standards of Sanitation, Housekeeping, and Maintenance,https://www.southflorida.edu/policies/facilities/7-07-standards-sanitation-housekeeping-maintenance,Facilities
7.09,7.09 "Search and Seizure,https://www.southflorida.edu/policies/facilities/7-09-search-seizure,Facilities
7.10,7.10 "Commemorative Naming of College Facilities,https://www.southflorida.edu/policies/facilities/7-10-commemorative-naming-college-facilities,Facilities
8.01,8.01 "Direct Support Organizations,https://www.southflorida.edu/policies/direct-support-organizations/8-01-direct-support-organizations,Direct Support Organizations
